date,ticker,event,yes_team,winner,close_bid,close_ask,close_mid,volume,open_interest,result,settled_ts
2026-04-11,KXMLBGAME-26APR111310MIADET-MIA,KXMLBGAME-26APR111310MIADET,Miami,Detroit,44,45,0.445,63664.00,165296.00,no,1775924422
2026-04-11,KXMLBGAME-26APR111305AZPHI-PHI,KXMLBGAME-26APR111305AZPHI,Philadelphia,Philadelphia,54,55,0.545,72764.00,243671.00,yes,1775924420
2026-04-11,KXMLBGAME-26APR102210TEXLAD-TEX,KXMLBGAME-26APR102210TEXLAD,Texas,Los Angeles D,33,34,0.335,6134.00,37400.00,no,1775871283
2026-04-11,KXMLBGAME-26APR102140COLSD-SD,KXMLBGAME-26APR102140COLSD,San Diego,San Diego,60,61,0.605,10928.00,42363.00,yes,1775868612
2026-04-11,KXMLBGAME-26APR102140HOUSEA-SEA,KXMLBGAME-26APR102140HOUSEA,Seattle,Seattle,56,57,0.565,113192.00,189421.00,yes,1775871035
2026-04-12,KXMLBGAME-26APR121920CLEATL-CLE,KXMLBGAME-26APR121920CLEATL,Cleveland,Atlanta,36,37,0.365,33030.00,93055.00,no,1776033885
2026-04-12,KXMLBGAME-26APR121610HOUSEA-SEA,KXMLBGAME-26APR121610HOUSEA,Seattle,Seattle,60,61,0.605,128179.00,154581.00,yes,1776021610
2026-04-12,KXMLBGAME-26APR121610TEXLAD-TEX,KXMLBGAME-26APR121610TEXLAD,Texas,Texas,46,47,0.465,29973.00,83820.00,yes,1776023403
2026-04-12,KXMLBGAME-26APR121610COLSD-SD,KXMLBGAME-26APR121610COLSD,San Diego,San Diego,67,68,0.675,21683.00,59372.00,yes,1776024883
2026-04-12,KXMLBGAME-26APR121420PITCHC-PIT,KXMLBGAME-26APR121420PITCHC,Pittsburgh,Chicago C,44,45,0.445,36354.00,84174.00,no,1776016819
2026-04-12,KXMLBGAME-26APR121410CWSKC-KC,KXMLBGAME-26APR121410CWSKC,Kansas City,Chicago WS,62,63,0.625,5478.00,49432.00,no,1776026100
2026-04-12,KXMLBGAME-26APR121415BOSSTL-STL,KXMLBGAME-26APR121415BOSSTL,St. Louis,Boston,47,48,0.475,13896.00,52859.00,no,1776015291
2026-04-12,KXMLBGAME-26APR121410WSHMIL-WSH,KXMLBGAME-26APR121410WSHMIL,Washington,Washington,33,34,0.335,19595.00,42702.00,yes,1776015291
2026-04-12,KXMLBGAME-26APR121340LAACIN-LAA,KXMLBGAME-26APR121340LAACIN,Los Angeles A,Los Angeles A,51,52,0.515,23320.00,70070.00,yes,1776014427
2026-04-12,KXMLBGAME-26APR121340NYYTB-TB,KXMLBGAME-26APR121340NYYTB,Tampa Bay,Tampa Bay,42,43,0.425,24475.00,51169.00,yes,1776012315
2026-04-12,KXMLBGAME-26APR121335SFBAL-SF,KXMLBGAME-26APR121335SFBAL,San Francisco,Baltimore,46,47,0.465,26977.00,379393.00,no,1776013252
2026-04-12,KXMLBGAME-26APR121340MIADET-MIA,KXMLBGAME-26APR121340MIADET,Miami,Detroit,37,38,0.375,25273.00,98393.00,no,1776011708
2026-04-12,KXMLBGAME-26APR121337MINTOR-TOR,KXMLBGAME-26APR121337MINTOR,Toronto,Minnesota,55,56,0.555,24171.00,104374.00,no,1776013823
2026-04-12,KXMLBGAME-26APR121340ATHNYM-NYM,KXMLBGAME-26APR121340ATHNYM,New York M,A's,60,61,0.605,11829.00,66229.00,no,1776012040
2026-04-12,KXMLBGAME-26APR121335AZPHI-PHI,KXMLBGAME-26APR121335AZPHI,Philadelphia,Arizona,57,59,0.58,57338.00,144484.00,no,1776013505
2026-04-12,KXMLBGAME-26APR112140HOUSEA-SEA,KXMLBGAME-26APR112140HOUSEA,Seattle,Seattle,58,59,0.585,15113.00,79101.00,yes,1775957412
2026-04-12,KXMLBGAME-26APR112110TEXLAD-TEX,KXMLBGAME-26APR112110TEXLAD,Texas,Los Angeles D,37,38,0.375,14377.00,82640.00,no,1775953480
2026-04-12,KXMLBGAME-26APR112040COLSD-SD,KXMLBGAME-26APR112040COLSD,San Diego,San Diego,59,60,0.595,27722.00,95796.00,yes,1775953211
2026-04-13,KXMLBGAME-26APR131945CLESTL-STL,KXMLBGAME-26APR131945CLESTL,St. Louis,Cleveland,48,49,0.485,27508.00,56955.00,no,1776122408
2026-04-13,KXMLBGAME-26APR131940BOSMIN-MIN,KXMLBGAME-26APR131940BOSMIN,Minnesota,Minnesota,40,41,0.405,14096.00,56624.00,yes,1776120611
2026-04-13,KXMLBGAME-26APR131915MIAATL-MIA,KXMLBGAME-26APR131915MIAATL,Miami,Miami,42,43,0.425,11181.00,83241.00,yes,1776120610
2026-04-13,KXMLBGAME-26APR131905LAANYY-NYY,KXMLBGAME-26APR131905LAANYY,New York Y,New York Y,62,63,0.625,159249.00,367788.00,yes,1776122686
2026-04-13,KXMLBGAME-26APR131835AZBAL-BAL,KXMLBGAME-26APR131835AZBAL,Baltimore,Baltimore,53,54,0.535,79291.00,161482.00,yes,1776117629
2026-04-13,KXMLBGAME-26APR131840WSHPIT-WSH,KXMLBGAME-26APR131840WSHPIT,Washington,Pittsburgh,33,34,0.335,16860.00,53060.00,no,1776118229
2026-04-13,KXMLBGAME-26APR131840CHCPHI-PHI,KXMLBGAME-26APR131840CHCPHI,Philadelphia,Philadelphia,62,63,0.625,68202.00,171716.00,yes,1776118229
2026-04-13,KXMLBGAME-26APR131610HOUSEA-SEA,KXMLBGAME-26APR131610HOUSEA,Seattle,Seattle,61,62,0.615,82298.00,304031.00,yes,1776106835
2026-04-14,KXMLBGAME-26APR142010COLHOU-HOU,KXMLBGAME-26APR142010COLHOU,Houston,Houston,61,62,0.615,5476.00,94064.00,yes,1776210619
2026-04-14,KXMLBGAME-26APR141940TORMIL-TOR,KXMLBGAME-26APR141940TORMIL,Toronto,Toronto,47,48,0.475,10260.00,69970.00,yes,1776210101
2026-04-14,KXMLBGAME-26APR141945CLESTL-STL,KXMLBGAME-26APR141945CLESTL,St. Louis,St. Louis,46,47,0.465,10835.00,52650.00,yes,1776208813
2026-04-14,KXMLBGAME-26APR141940TBCWS-TB,KXMLBGAME-26APR141940TBCWS,Tampa Bay,Tampa Bay,55,56,0.555,12655.00,78957.00,yes,1776208215
2026-04-14,KXMLBGAME-26APR141940BOSMIN-MIN,KXMLBGAME-26APR141940BOSMIN,Minnesota,Minnesota,44,45,0.445,38983.00,94180.00,yes,1776207034
2026-04-14,KXMLBGAME-26APR141905LAANYY-NYY,KXMLBGAME-26APR141905LAANYY,New York Y,Los Angeles A,61,62,0.615,29970.00,135111.00,no,1776206455
2026-04-14,KXMLBGAME-26APR141915MIAATL-MIA,KXMLBGAME-26APR141915MIAATL,Miami,Atlanta,39,40,0.395,6255.00,40099.00,no,1776205576
2026-04-14,KXMLBGAME-26APR141840SFCIN-SF,KXMLBGAME-26APR141840SFCIN,San Francisco,Cincinnati,48,49,0.485,27237.00,191733.00,no,1776202846
2026-04-14,KXMLBGAME-26APR141840WSHPIT-WSH,KXMLBGAME-26APR141840WSHPIT,Washington,Washington,37,38,0.375,20959.00,51116.00,yes,1776206455
2026-04-14,KXMLBGAME-26APR141840CHCPHI-PHI,KXMLBGAME-26APR141840CHCPHI,Philadelphia,Chicago C,56,58,0.57,48947.00,164940.00,no,1776205577
2026-04-14,KXMLBGAME-26APR141840KCDET-KC,KXMLBGAME-26APR141840KCDET,Kansas City,Detroit,48,49,0.485,32676.00,85874.00,no,1776202511
2026-04-14,KXMLBGAME-26APR141835AZBAL-BAL,KXMLBGAME-26APR141835AZBAL,Baltimore,Arizona,59,60,0.595,68888.00,199018.00,no,1776204310
2026-04-14,KXMLBGAME-26APR132210NYMLAD-NYM,KXMLBGAME-26APR132210NYMLAD,New York M,Los Angeles D,40,41,0.405,19225.00,132373.00,no,1776128422
2026-04-14,KXMLBGAME-26APR132140TEXATH-TEX,KXMLBGAME-26APR132140TEXATH,Texas,Texas,53,54,0.535,26379.00,179716.00,yes,1776127490
2026-04-15,KXMLBGAME-26APR152010COLHOU-HOU,KXMLBGAME-26APR152010COLHOU,Houston,Houston,63,64,0.635,13248.00,54837.00,yes,1776295839
2026-04-15,KXMLBGAME-26APR151940TBCWS-TB,KXMLBGAME-26APR151940TBCWS,Tampa Bay,Tampa Bay,51,52,0.515,26870.00,105785.00,yes,1776294888
2026-04-15,KXMLBGAME-26APR151940TORMIL-TOR,KXMLBGAME-26APR151940TORMIL,Toronto,Milwaukee,52,53,0.525,17006.00,41478.00,no,1776293094
2026-04-15,KXMLBGAME-26APR151915MIAATL-MIA,KXMLBGAME-26APR151915MIAATL,Miami,Atlanta,39,40,0.395,7225.00,28525.00,no,1776292841
2026-04-15,KXMLBGAME-26APR151905LAANYY-NYY,KXMLBGAME-26APR151905LAANYY,New York Y,New York Y,63,64,0.635,40855.00,97420.00,yes,1776291017
2026-04-15,KXMLBGAME-26APR151840WSHPIT-WSH,KXMLBGAME-26APR151840WSHPIT,Washington,Pittsburgh,38,39,0.385,12475.00,29743.00,no,1776288664
2026-04-15,KXMLBGAME-26APR151840SFCIN-SF,KXMLBGAME-26APR151840SFCIN,San Francisco,Cincinnati,50,51,0.505,49885.00,76302.00,no,1776289237
2026-04-15,KXMLBGAME-26APR151840KCDET-KC,KXMLBGAME-26APR151840KCDET,Kansas City,Detroit,45,46,0.455,91631.00,115977.00,no,1776289239
2026-04-15,KXMLBGAME-26APR151840CHCPHI-PHI,KXMLBGAME-26APR151840CHCPHI,Philadelphia,Chicago C,55,57,0.56,23866.00,57827.00,no,1776290099
2026-04-15,KXMLBGAME-26APR151340BOSMIN-MIN,KXMLBGAME-26APR151340BOSMIN,Minnesota,Boston,47,48,0.475,44151.00,333738.00,no,1776272466
2026-04-15,KXMLBGAME-26APR151315CLESTL-STL,KXMLBGAME-26APR151315CLESTL,St. Louis,St. Louis,51,52,0.515,6758.00,55268.00,yes,1776271855
2026-04-15,KXMLBGAME-26APR151235AZBAL-BAL,KXMLBGAME-26APR151235AZBAL,Baltimore,Arizona,54,55,0.545,124884.00,220780.00,no,1776270302
2026-04-15,KXMLBGAME-26APR142210NYMLAD-NYM,KXMLBGAME-26APR142210NYMLAD,New York M,Los Angeles D,35,36,0.355,5594.00,48194.00,no,1776214204
2026-04-15,KXMLBGAME-26APR142140SEASD-SEA,KXMLBGAME-26APR142140SEASD,Seattle,San Diego,52,53,0.525,11896.00,108964.00,no,1776213386
2026-04-15,KXMLBGAME-26APR142140TEXATH-TEX,KXMLBGAME-26APR142140TEXATH,Texas,A's,54,55,0.545,13788.00,97449.00,no,1776214819
